Name,Diameter,a
(577578) 2013 GW136,134,47.9
(587670) 2006 QE181,134,42.8
(602714) 2014 ON394,134,63.2
(511553) 2014 UK225,133,43.6
(183964) 2004 DJ71,132,52.6
(434709) 2006 CJ69,132,42
(82157) 2001 FM185,130,38.5
(469438) 2002 GV31,130,44.1
(555758) 2014 DP143,129,39.6
15810 Arawn,128,39.7
(15836) 1995 DA2,128,36.3
(20108) 1995 QZ9,128,39.4
(49673) 1999 RA215,128,43.2
(131695) 2001 XS254,128,37
(181855) 1998 WT31,128,45.8
(491767) 2012 VU113,128,39.6
(500839) 2013 GW137,128,43.2
(500878) 2013 JG64,128,42
(523764) 2014 WC510,128,39.3
(469505) 2003 FE128,127,48.2
66652 Borasisi,126,44.1
(79969) 1999 CP133,125,34.8
(523983) 1999 RY214,125,45.1
(535992) 2015 BF519,125,39.1
(15809) 1994 JS,122,42.6
(91554) 1999 RZ215,122,104
(131318) 2001 FL194,122,39.6
(143685) 2003 SS317,122,36.4
(160148) 2001 KV76,122,70.9
(308933) 2006 SQ372,122,905
(364171) 2006 JZ81,122,44.8
(500828) 2013 GR136,122,44
(500840) 2013 GA138,122,44.1
(503883) 2001 QF331,122,42.5
(508792) 2000 FX53,122,43.8
(523787) 2015 DV224,122,55.9
(547616) 2010 TR195,122,39.5
(543734) 2014 OL394,121,42.3
(555916) 2014 GB54,120,39.6
(579246) 2014 OX415,119,39.5
(52747) 1998 HM151,117,44.8
(60458) 2000 CM114,117,59.2
(60608) 2000 EE173,117,49.2
(136120) 2003 LG7,117,63.1
(427581) 2003 QB92,117,34.9
(438028) 2004 EH96,117,39.7
(488644) 2003 HY56,117,42.9
(500830) 2013 GU136,117,44.4
(523755) 2014 WZ508,117,76.7
(524365) 2001 XQ254,117,55.1
(534315) 2014 SK349,117,39.7
(594337) 2016 QU89,117,175
(578997) 2014 JR92,116,43.1
(15788) 1993 SB,114,39.2
(532027) 2013 EH154,113,31.8
(73480) 2002 PN34,112,31.1
(45802) 2000 PV29,111,43.6
(54520) 2000 PJ30,111,126
(91205) 1998 US43,111,39.1
(130391) 2000 JG81,111,47.9
(169071) 2001 FR185,111,39.6
(500876) 2013 JD64,111,73.1
(500888) 2013 JP65,111,41.6
(523770) 2014 XO40,111,58.5
(530838) 2011 UC411,111,39.2
(524217) 2001 RZ143,108,44.1
(19299) 1996 SZ4,106,39.4
(69990) 1998 WU31,106,39
(123509) 2000 WK183,106,44.1
(134568) 1999 RH215,106,43.9
