Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
79360 Sila-Nunam,249,43.6,0.01,2,43.3,43.9,cubewano (cold)
(523677) 2013 UF15,249,42.3,0.17,12,35.3,49.4,res · 3:5
(523713) 2014 JX80,249,56,0.36,29,35.8,76.1,res · 2:5
(523726) 2014 MJ70,249,126,0.7,16,37.7,214,SDO
(523762) 2014 WX509,249,42.5,0.14,12,36.5,48.4,cubewano (hot)
(535230) 2014 YH50,249,56.4,0.32,41,38.6,74.2,SDO
(554000) 2012 FM87,249,50.8,0.25,20,38.2,63.3,SDO
(578835) 2014 GL54,249,57.8,0.36,30,36.9,78.7,SDO
(143707) 2003 UY117,247,55.6,0.42,8,32.4,78.9,res · 2:5
(309239) 2007 RW10,247,30.4,0.3,36,21.2,39.5,centaur
(470523) 2008 CS190,247,42.1,0.16,16,35.5,48.7,res · 3:5
(523588) 2000 CN105,247,44.4,0.1,3,40,48.7,cubewano (cold)
(523689) 2014 DL143,247,46.9,0.22,9,36.6,57.1,other TNO
148780 Altjira,246,44.1,0.07,5,41.1,47,cubewano (hot)
(533676) 2014 LS28,246,43.5,0.07,4,40.5,46.4,cubewano (cold)
(523715) 2014 KU101,245,39.7,0.14,6,34.2,45.1,plutino
(523731) 2014 OK394,245,42.3,0.17,4,35.4,49.3,res · 3:5
(579077) 2014 LP28,245,41.4,0.06,16,39.2,43.7,cubewano (hot)
(523624) 2008 CT190,244,52.4,0.34,39,34.7,70.2,res · 3:7
(88268) 2001 KK76,243,42.8,0.02,2,41.9,43.8,cubewano (cold)
(148209) 2000 CR105,243,218,0.8,23,44.2,391,EDDO
(149348) 2002 VS130,243,44.8,0.12,3,39.4,50.2,cubewano (cold)
(469750) 2005 PU21,243,180,0.84,6,29.3,330,centaur
(504847) 2010 RE188,243,45.9,0.14,7,39.2,52.6,cubewano (hot)
(524049) 2000 CQ105,243,57.1,0.4,20,34.5,79.7,SDO
(524612) 2003 QA112,243,42.7,0.12,16,37.6,47.7,cubewano (hot)
(525729) 2005 RQ43,243,41.2,0.1,20,37.3,45.2,cubewano (hot)
(531040) 2012 CS57,243,43.1,0.04,17,41.6,44.6,cubewano (hot)
(531077) 2012 DB99,243,39.6,0.19,10,32.2,46.9,plutino
(533868) 2014 OG394,243,38.5,0.05,4,36.7,40.4,other TNO
(535023) 2014 WO509,243,44,0.09,4,39.9,48.1,cubewano (cold)
(535994) 2015 BH519,243,54.1,0.33,28,36.3,72,SDO
(536920) 2015 FM345,243,42.7,0.03,17,41.4,43.9,cubewano (hot)
(543733) 2014 OZ393,243,46.3,0.19,17,37.6,54.9,cubewano (hot)
(544977) 2014 WZ535,243,40.5,0.08,20,37.3,43.7,other TNO
(546974) 2010 BP153,243,79.2,0.56,11,35.2,123,SDO
(552033) 2013 RO98,243,58.5,0.39,19,35.5,81.5,SDO
(554982) 2013 JV65,238,42.8,0.04,3,41.1,44.6,cubewano (cold)
(523965) 1998 XY95,237,63.6,0.41,7,37.3,89.9,SDO
(533397) 2014 GZ53,236,44,0.04,6,42.3,45.6,cubewano (hot)
(554099) 2012 KU50,236,41.1,0.25,19,30.9,51.3,other TNO
(432949) 2012 HH2,235,34.9,0.16,29,29.2,40.5,res · 4:5
(437360) 2013 TV158,235,112,0.67,31,36.5,187,SDO
(556067) 2014 JK80,235,39.6,0.2,20,31.6,47.7,plutino
(523644) 2010 VX11,234,39.3,0.28,22,28.2,50.4,plutino
